author|flightDate|flightFromCity|flightToCity|flightType|flightClass|mark|title|text
tittiecarlo|marzo 2020|Malé|Milano|Internazionali|Economy|5.0|Volare Alitalia senza problemi|Volo puntuale, l'ultimo volo Alitalia per Milano prima della chiusura totale causa COVID. Veivolo pulitissimo, personale gentile e sempre disponibile . abbiamo viaggiato nei posto a due senza nessuno davanti, comodi. Pasti discreti. Il volo è arrivato puntuale a destinazione e senza disagi nonostante fosse pieno.
Emanuela DNP|marzo 2020|Buenos Aires|Napoli|Internazionali|Business|5.0|Bravissimi|Bravissimi!!! Emergenza Corona Virus 🦠, Tutte le compagnie aeree hanno dato uno stop ai voli ✈️ Alitalia sta riportando tutti gli italiani in patria! Sono una dei tanti... con un biglietto per il 26 marzo e l’Argentina che aveva dichiarato lo stop ai voli da è per l’Italia, ieri sono corsa in aeroporto per cercare di tornare a casa! ( ero partita prima che l’emergenza scoppiasse..!!) dopo alcune ore veramente terribili in aeroporto in cui ho creduto di dover essere rimpatriata dall’unita di crisi, finalmente all’ultimo secondo un minuto prima della partenza sono stata imbarcata sul volo diretto per Roma!!! Non so descrivere quanto sia stato piacevole e quanto io abbia apprezzato l’accoglienza ospitale e calorosa ricevuta a bordo! Il personale di volo attento e cordiale, ha svolto il servizio con grande professionalità ma anche con fare amichevole, proprio di noi italiani, che è quello che mi ha spinto a fare questa recensione. Appena salita a bordo mi sono sentita finalmente a casa ed in luogo sicuro!! Grazie Alitalia, grazie a tutto il personale che si sta adoperando per riportarci a casa!!! Ricordiamoci di questo quando tutto sarà passato, e finalmente potremo ricominciare a spostarci senza paura!!!
18giony|marzo 2020|Roma|Parigi|Europa|Economy|2.0|Volo di transito|Un servizio scarso mi aspettavo molto di più essendo di stato.un servizio scarso e quasi inesistente. Poi ho capito perché eravamo in pochi a bordo
Ambra A|marzo 2020|Bologna|Catania|Nazionali|Economy|2.0|SERVIZIO CLIENTI PESSIMO|Alitalia è una buona compagnia aerea ma il servizio clienti è pessimo anzi più che pessimo, capisco la situazione critica di questo momento e le innumerevoli richieste che devono gestire, però invece di mettere solo due numeri per parlare con il servizio clienti potrebbero attivare un servizio online o anche una semplice email dove poterli contattare, io ho provato a chiamare il numero verde per giorni interi senza alcun riscontro, inoltre ho chiamato il servizio clienti a pagamento ma anche lì ho speso solo 5 euro di traffico per l'attesa, non so più con quale mezzo poterli contattare per un semplice rimborso, dovrò spendere di traffico tanto quanto il costo del biglietto aereo?
Alfiozappala132|aprile 2019|Roma|Catania|Nazionali|Economy|5.0|compagnia eccezionale|mi sono trovato bene personale gentilissimo professionale preparato Alitalia sa far davvero rilassare sono contento di aver viaggiato con Alitalia la consiglio perché il servizio clienti e pronto ad aiutare le persone
velvet54|febbraio 2020|Roma|Buenos Aires|Internazionali|Business|5.0|Ottimo volo|Compagnia con una grande tradizione di elevato comfort a bordo anche per la classe economica. Cibo di qualità trattato con grande maestria e degno di un ristorante stellato. Equipaggio disponibile e intrattenimento con tanta scelta, anche per i bambini.
Gavroche464|dicembre 2019|Milano|Bari|Nazionali|Economy|5.0|Orgoglio italiano, ma.|Il mio primo viaggio aereo, a Johannesburg, oltre 10.000 kilometri ad elica (una ventina di ore). Allora, quasi 70 anni fa, avvertivo un modesto senso di avventura, in Congo sosta di un paio d'ore, tutti seduti a un tavolone, grandi vassoi con cibi ancora rari in Europa, come certa frutta, a me milanese del tutto sconosciuta. A questo senso di modesta avventura contribuiva anche molto la mia sacrosanta fifa. E oggi? Non più fifa. Alitalia campione di puntualità, aranciatina tutto quanto offerto ai passeggeri (ricordo allora pranzi da strozzarti in voli di un'ora), personale cortese, sedili comodi . Non sono d'accordo per le divise, non so da chi disegnate, ma che trovo brutte. Conclusione: voleremmo Alitalia, se il futuro ce lo permettesse.
Lorenzo C|NULL|Milano|Tokyo|Internazionali|Premium Economy|5.0|La classe italiana|Volo di andata e di ritorno ineccepibili. Lo spazio non è elevatissimo ma sufficiente. Il confort assicurato. Ampia scelta di intrattenimento, dotazioni tecnologiche efficienti, menu vario e di buon livello, personale disponibile e gentile. Pulizia, temperatura e qualità dell'aria eccellenti. Naturalmente i voli sono stati puntualissimi.
Cristiano G|marzo 2020|New York City|Milano|Internazionali|Economy|2.0|Un volo Alitalia dopo diversi anni|Per anni ho volato quasi solo con Alitalia: una media di 35-50 tratte all’anno di cui un terzo/metà intercontinentali. Volavo con la compagnia di bandiera perché da italiano ci tengo a salvaguardare ed a valorizzare le nostre eccellenze. Pian piano ho visto il servizio peggiorare: dalla qualità del cibo, alla qualità dell’intrattenimento a bordo (ormai dire obsoleto è fargli un complimento) alla sempre pessima qualità dell’imbarco (per quale motivo non può funzionare come in tutte le altre compagnie aeree del globo?!?). La goccia che ha fatto traboccare il vaso è la stata la pessima gestione della scadenza delle miglia, alcuni anni fa: impossibile ordinare nulla su Millemiglia gallery ed altamente improbabile trovare una tratta con le proprie miglia, così stoicamente guadagnate. Da un paio d’anni ho quindi cambiato vettore (Delta) e carta di credito in modo da non accumulare più, in nessun modo, le miglia Alitalia. Purtroppo per causa Coronavirus Delta mi ha ricollocato su un volo Alitalia ed ho quindi riprovato gli “antichi splendori”... Purtroppo la situazione è ancora peggiorata. Non consiglio Alitalia, ma la ringrazio per avermi portato a casa in un momento in cui nessuno voleva volare verso l’Italia. P.S. trovate un modo per far spendere le Miglia Alitalia ai clienti in modo più agevole.
Lucio Oieni|maggio 2019|Roma|Buenos Aires|Internazionali|Business|5.0|ELEGANZA SENZA PARI|La classe business di Alitali corrisponde alla prima classe di tante altre compagnie. Quindi il rapporto qualità prezzo veramente conveniente. Ottima la poltrona letto, professionale il personale e il miglior cibo del mondo .
Riccardo C|giugno 2019|Palermo|Marsiglia|Europa|Economy|5.0|ottima come poche altre compagnie|avere più spazio in cabina e non dover sentire odore di cibo ed annunci di lotterie per soli 10 euro a tratta in più è un piacere impagabile. La puntualità e la comodità degli orari poi non hanno prezzo.
Alessandro D|gennaio 2020|Roma|Malé|Internazionali|Premium Economy|5.0|Tutto perfetto - Puntualità e comodità|Tutto perfetto, cordialità e gentilezza, puntualita del volo e comodità con il volo diretto. Consigliato e veloce
Antonella P|novembre 2019|Milano|New York City|Internazionali|Business|5.0|Viaggiare in magnifica con Alitalia resta un emozione davvero “magnifica”|Cortesia, disponibilità, professionalità hanno reso il viaggio confortevole e davvero unico. Siamo atterrati a New York senza avvertire la minima stanchezza grazie allo staff che si è gentilmente prodigato a rendere tutto semplicemente perfetto. Grazie Alitalia
Assunta S|febbraio 2020|Roma|Isola di Rodrigues|Internazionali|Premium Economy|2.0|purtoppo pur essendo nazionalista|i costi sia della permium che business non sono all'altezza di altre compagnie, sono aerei vecchi ,il servizio a bordo è carente .in più per un ritardo dipendente dalla partenza :mauritius all'arrivo a roma si sono venduti il nostro volo di transito x bari,ci hanno offerto ilpernottamento (PUR ESSENDO HILTON GARDEN) ma alla cena due maccheroni riscaldati e del pesce (teglia vuota)abbiamo foto ,e la stanza ...lasciamo perdere.....e chissà quanto è costato alla compagnia ?perchè è chiaro che è tutto un giro di clientelismo ..saluti ASSUNTA SIMEONE
Danila G|luglio 2019|Torino|Roma|Nazionali|Economy|5.0|Professionalità.|E' qualche anno che uso Alitalia per le mie vacanze a Roma e devo dire che mai ho avuto delusioni o contrattempi; questa compagnia è valida, efficiente e professionale. Il check-in veloce . Durante il volo il personale è stato molto presente . Continuerò ad usare Alitalia e i suoi servizi.
tiziano b|febbraio 2020|Milano|Palermo|Nazionali|Economy|4.0|Un comodo volo low cost da Linate|Per visita parenti abbiamo preso un volo low cost con orario comodo ( ore 9,30 all'andata di venerdi e 19,45 di sabato per il ritorno) buon servizio sia all'accoglienza in aeroporto sia a bordo con una bevanda gratis e attenzione ai bagagli da inserire nele cappelliere . Sicuramente a questi costi è un'ottima alternativa a Raynair con i suoi voli da Bergamo ( più lontano da raggiungere ) con troppe restrizioni di peso e costi aggiuntivi per il trolley in cabina ,
Salvatore D|febbraio 2020|Catania|Madrid|Europa|Economy|4.0|Volo rilassante|Volando con Alitalia mi sono sempre sentito sicuro e infatti anche questa volta tutto è andato bene,hostess cortesi e disponibili,volo rilassante complice un clima mite anche se a Febbraio.
supermary66|febbraio 2020|Milano|Roma|Nazionali|Economy|4.0|Ottimo volo a/r in giornata|Spazio per le gambe sufficiente, servizio a bordo di bevande e snack gratis... incredibile per chi è abituato a compagnie aeree low cost dove paghi anche solo se respiri!😜
Nico_ufo|marzo 2020|Genova|Tirana|Europa|Economy|3.0|Volo Genova / Tirana A/R|Per viaggio di A/R effettuati 4 voli con hub Roma Fiumicino. Purtroppo gli orari programmati fanno si che per volare da Genova a Roma servano almeno 5 ore considerando tempi prima di imbarco, sosta e arrivo a destino. Un volo diretto con mendo di 2 ore tra pre imbarco e arrivo sarebbe molto comodo. Peccato che non ci siano altre compagnie con orari e giorni interessati per chi deve andare per lavoro e non perdere la gioranta.
Mario P|marzo 2020|Roma|Nizza|Europa|Economy|5.0|Roma Nizza andata e ritorno|Un volo di corto raggio, piacevole, ottimo servizio e sorprendente vedere quelle persone che si imbarcavano con altre compagnie in balia di file mostruose e noi filare lisci all'aereomobile con il controllo documenti affidato al personale Alitalia perfettamente addestrato.
alverdisonia|agosto 2019|Bologna|Cagliari|Nazionali|Premium Economy|4.0|Vacanza a Cagliari e a Carloforte|E' stato un bel volo, trattata con discrezione e tatto oltre che essere stato un viaggio piacevole e comodo. Il personale e' formato e specializzato ed il pilota e' stato molto bravo anche nell'atterraggio, tanto che non si e' quasi avvertito. Spero di avere modo di poter viaggiare ancora con Alitalia.
Elisabetta|gennaio 2020|Roma|Mahebourg|Internazionali|Economy|5.0|Un volo ottimo|Da Roma a Mauritius sono 10 ore di volo andata e altrettanto ritorno... volo lungo, noioso ma assolutamente perfetto da parte della compagnia, nessuna turbolenza che fortuna, ma anche decolli e atterraggi silenziosi e una buona assistenza a bordo. Per viaggi lunghi ho sempre scelto Alitalia ed è andato sempre tutto bene. Volo tranquillo questo è quello che conta
4lella|gennaio 2020|Città del Messico|Roma|Internazionali|Economy|1.0|UNA TRAGICOMICA|Non credo di aver mai visto un aereo in così pessime condizioni. Sedili,monitor, braccioli rotti in quantità esagerata. Un numero di hostess e stewart mai visto in nessun volo di nessuna compagnia aerea VERGOGNOSO...HO CAPITO PERCHE' STA FALLENDO
14alessandro|gennaio 2020|Roma|Miami|Internazionali|Economy|4.0|Salvo stranezza molto buono|ho ritrovato gentilezza, la cosa migliore sono i piloti, viaggio anche di ritorno ottimo, massima attenzione per un passeggero con problemi cardiaci, se fosse stato infarto sarebbe atterrato in Canada. La stranezza: sia all'andata che al ritorno i posti assegnati, a me in zona centrale, al mio famigliare in zona laterale, ci avrebbero costretti a viaggiare separati se non avessimo fatto un cambio posto con altri viaggiatori singoli.
senpessina|marzo 2020|Luxembourg|Milano|Europa|Economy|2.0|..forse è colpa del CV-19!!|Aeromobile semivuoto per emergenza Coronavirus, partito con discreto anticipo, e questo dovrebbe essere un vantaggio...peccato che nessuno si sia premurato di annunciarlo; equipaggio visibilmente provato ed in disordine (forse anche essendo un volo serale!), posti mal distribuiti e confort limitato ad un bicchiere d'acqua servito su un misero vassoio!
ilnapo69|febbraio 2020|Napoli|Rio de Janeiro|Internazionali|Premium Economy|5.0|puntuale|come sempre è la migliore compagnia aerea con cui ho viaggiato negli ultimi 20 anni, ha una precisione e una puntualità uniche. Mai avuto un problema con i bagagli, cosa che con altre compagnie ho avuto. Aerei puliti e anche in economy lo spazio è notevole. Molto soddisfatto anche delle promozioni e dei prezzi. Sicuramente cercherò di viaggiare sempre con alitalia
Mandrugone|marzo 2020|Bologna|Cagliari|Nazionali|Economy|5.0|Tutto perfetto|Era da tanto che non volavo con alitalia e devo dire che tutto è stato perfetto, compresa la puntualità dei voli con scalo a Fiumicino
Valentina F|ottobre 2019|Roma|Malaga|Europa|Economy|5.0|Alitalia è una garanzia|Ho viaggiato Alitalia per i dispiaceri ricevuti dalla compagnia Vueling le scorse volte. Una compagnia in difficoltà economiche eppure una garanzia nel rispetto dei suoi clienti. Sono felice di poter parlare bene della nostra compagnia di bandiera.
adm7359|marzo 2020|Roma|L&#39;Avana|Internazionali|Economy|4.0|volo diretto per La Havana|Andata 22 Febbraio 2020: i posti in Economy non erano comodissimi, anche l'intrattenimento con video piuttosto obsoleto. Al ritorno, 7 Marzo 2020, tutto decisamente più comodo ed efficiente. A parità di servizio, l'aereo presentava più comodità nei posti, migliore sistema di intrattenimento. In 9 ore da La Havana si era già a Roma. Prenotato per tempo con degli amici, il costo era decisamente buono. Complimenti ad Alitalia per il servizio che prevede il rimborso per cause di forza maggiore.
antonio marin|febbraio 2020|Atene|Roma|Europa|Economy|2.0|SCIOPERO!!!!|Come al solito, la situazione di alitalia ha compromesso il mio viaggio. Il volo e' stato cancellato, sono rimasto in aeroporto ad atene 12 ore per aspettare il nuovo volo di rientro a roma Z721. Sono arrivato a destinazione (venezia) alle 22.00
Franco R|settembre 2019|Roma|New York City|Internazionali|Economy|5.0|Viaggio|Alitalia la migliore. Sempre puntuale. Sempre attenti alle esigenze. Sempre educati pronti ad accogliere le proprie esigenze
Franco F|febbraio 2020|Roma|Miami|Internazionali|Premium Economy|5.0|due voli (a/r) assolutamente perfetti|viaggiato su airbus330, andata e ritorno 2 voli perfetti. Il costo del biglietto premium economy non è basso, ma tenendo conto del servizio, del cibo, della pulizia dei bagni curata, del confort per le gambe, direi che va bene.
Giovanni O|agosto 2019|Milano|Cagliari|Nazionali|Economy|4.0|tutto ok|Direi che tutto a posto. Volo piu che normale.....ovviamente un volo nazionale nulla di impegnativo. Orario di partenza ok...idem orario di arrivo. Servizio a bordo relativo ad un volo nazionale.
giovanniRoma_Italia|gennaio 2020|Roma|Palermo|Nazionali|Economy|5.0|sempre bene|ormai volo solo alitalia, voli puntuali, personale estremamente gentile, qerei puliti. Vado relativamente spesso a palermo e ogni volta scelgo questa compagnia. Acquistando il biglietto in anticipo, spendo poco. giovanni
tostomed|febbraio 2020|Roma|Malé|Internazionali|Economy|2.0|Minimo indispensabile|La scelta di questa compagnia deriva solo dal fatto che non si fa scalo come tutte le altre nel pieno della notte e si arriva dopo 8.30 ore di volo a malè verso la tarda mattinata, perlomeno in andata perché il ritorno si fa completamente di giorno. Gli aeromobili sono vecchi e datati (Airbus 330) seppur abbiano fatto un restiling; non vale per il personale che è nella media scortese, lavorando con aria da sufficienza; tutto ciò non accade con altre compagnie, compresa Etihad. Ma alla fine si va alle Maldive e questo basta.
ettoregiordano|dicembre 2019|Lamezia Terme|Verona|Nazionali|Economy|3.0|In linea....|Prezzo-qualità.....in linea con il servizio. Gentilezza e cortesia rimangono elementi di qualità che fanno la differenza..
Leonardo M|NULL|Roma|Miami|Internazionali|Economy|3.0|Aereo piccolo distanza tra i sedili troppo minima|Il viaggio è stato un po' faticoso per via della distanza troppo ravvicinata tra i sedili ed inoltre il passeggero davanti a me, nonostante i miei continui richiami, voleva stare sdraiato, comprimendo le mie ginocchia. Cibo neanche sufficiente.
babbion1987|marzo 2020|Roma|Milano|Nazionali|Economy|1.0|Compagnia decotta piena di scansafatiche e parassiti|"Situazione l'8 marzo, scalo di Fiumicino Innumerevoli voli cancellati per mancanza di passeggeri, ufficialmente a causa impennata di rinuncie per coronavirus (in realta' una buona scusa per fare pulizia di voli interni che circolano ormai semivuoti)  Episodio 1 - emissione di biglietto per modifica rotta con scalo aggiuntivo a Roma direzione Milano. Personale a terra antipatico e smpre sulla difensiva, con l'arroganza tipica di chi e' stato chiaramente 'sistemato per la vita' dagli amici politici.  Episodio 2 - la mia agenzia di viaggio ha modificato il piano di volo da Malpensa a Linate con scalo imprevisto a Roma. Io vivo vicino Verona quindi mi reco allo sportello passeggeri in transito per richiedere di poter cambiare con un volo per Verona, anziche' Linate. Risposta della 'simpatica' signora che dovrebbe 'assistere' i pochissimi clienti: ""questo biglietto non e' un volo Alitalia, non posso lavorarlo."" - ""Come non e' un volo Alitalia, e' stato emesso da voi! ""- "" E' operato da altra compagnia"" - ""nome?"" - ""xyz Airlines, puo' chiedere direttamente a loro se possono farle il cambio"" - ""Pero' guarda caso me lo ha emesso Alitalia....ma che razza di azienda partner e' se non siete capaci di gestire l'amminstrazione dei biglietti post-vendita?"". Inutile andare avanti, questa compagnia 'fantasma' non ha neppure un numero per clienti in Italia, fatica sprecata. In ogni caso l'aereo risulta targato Alitalia e il personale e' tutto Alitalia, Quindi questa tizia o non aveva voglia di lavorare o ha raccontato balle.  Aereo sporco, personale vecchio e annoiato, annunci incomprensibili con accento romanesco (p.s. so' tutti de Roma!).  Morale: mi auguri che andiate in fallimento e tutti a fare lavori socialmente utili a 600 euro al mese!!!"
Fulvio_rn|febbraio 2020|Roma|L&#39;Avana|Internazionali|Economy|3.0|posti streti|Volo di andata e ritorno puntuali, anzi anche un po' più veloce del previsto, personale efficente e con la simpatia italiana. Veniamo ai punti negativi, aereo datato, posti a sedere stretti, molto stretti, sedili ormai a fine vita, entertament penso 7 pollici a bassa qualità. Pasti senza infamia e senza lode.
tiziano food In Love|febbraio 2020|Roma|New York City|Internazionali|Premium Economy|1.0|Maleducati|Personale maleducato e presuntuoso. Ero seduto sulla fila esterna e sono stato colpito continuamente dal personale che passava con il carrello. Ho chiesto se era possibile pulire il bagno per la mia ragazza e sono stato trattato malissimo come se avessi chiesto al pilota di lavare per terra. Siete dei presuntuosi scortesi maleducati. Non ho litigato con nessuno solo per evitare discussioni ad alta quota ma meritereste il licenziamento. Se vi dà fastidio stare a contatto con il pubblico cambiate lavoro, alla fine siete dei camerieri un sorriso e la cortesia dovrebbero far parte del vostro lavoro
Viaggioperpiacere|agosto 2019|Roma|New York City|Internazionali|Economy|4.0|bel volo a NY e per nulla stancante|buon volo Delta gestito da Alitalia: anche se in classe standard c'è troppo poco posto...gentile il personale e disponibile infatti, nonostante non fossi riuscita ad avere nella prenotazione il pasto gluten free, il personale di bordo è riuscito a procurarmi buon cibo senza glutine.
Luca012_10|gennaio 2020|New York City|Milano|Internazionali|Premium Economy|4.0|Ottima premium|la mia recensione si riferisce ad un volo di Gennaio ante emergenza Corona Virus Ritengo che la premium in generale di Alitalia sia veramente una delle migliori in assoluto Ottimo il servizio , seduta comoda e molto ampia, area separata da economy quindi tranquilla senza passaggio. Toilette dedicata per la zone Premium Le tariffe inoltre sono molto concorrenziali in quanto poco superiori alla normale economy ma con u ottimo servizio Direi che è la soluzione ottima per voli che io considero medi ; per tratte più lunghe tipo Giappone o Cina ovviamente da prediligere sempre Business
monica942|giugno 2019|Firenze|Tel Aviv|Internazionali|Economy|5.0|compagnia di bandiera|come sempre la compagnia di bandiera italiana ripeto ITALIANA è eccellente. Spero resti tale. oltre il volo Fi TLV Bengurion, anche volo a due tappe Firenze Nizza, non essendovi piu' collegamento diretot. ALITALIA ha inoltre aiutato e supportato il dr Francis Benguigui che aveva lasciato il passaporto in un ufficio pubblico.... a rientrare comunque. EVVIVA ALITALIA
francesca g|febbraio 2020|Roma|Johannesburg|Internazionali|Economy|5.0|puntualissima|Sono stati puntuali sia in andata che in ritorno Gli aerei erano completi e mi hanno detto che sono sempre pieni intrattenimeto nella media il cibo era buono il personale gentile
Roberto B|febbraio 2020|Roma|Tel Aviv|Internazionali|Economy|4.0|Extra confort in economy|l'opzione extra confort consente di usufruire della fila di emergenza che su A321 è molto ampia. inoltre il posto accanto è rimasto libero, quindi ancora più confort
erdef|marzo 2020|Milano|Tokyo|Internazionali|Economy|5.0|Efficienza inaspettata|Mi è stato cancellato il volo per Tokyo, ho chiamato il numero 892010 e mi è stato subito fatto il rimborso sulla carta di credito dalla quale ho effettuato la prenotazione. In un momento così delicato per le compagnie aeree non mi aspettavo un'efficienza simile. Trovo spropositati e insensati i costi di questo numero che è a pagamento, per questa richiesta di rimborso ho speso 13 € di telefonata.
maupassa|marzo 2020|Catania|Malé|Internazionali|Economy|3.0|Viaggio alle Maldive|Finalmente grande puntualità sia all andata che al ritorno di questo viaggio e gentilezza e professionalità dell equipaggio, ma mi chiedo , in un volo di 11 ore è possibile che nessuno provveda alla pulizia dei bagni ? Un pallino in meno per questo motivo
Teo|marzo 2020|Milano|Tokyo|Internazionali|Economy|1.0|Una compagnia di m....!|Pessima esperienza nel customer service. Non solo non risponde mai nessuno dopo ore al telefono, ma addirittura chiamando a un altro interno l assistente ci manda a fare in c..o! Che schifo di compagnia!
pieri464|febbraio 2020|Rio de Janeiro|Roma|Internazionali|Business|5.0|eleganza|Volo di ritorno Rio-Roma indubbiamente viaggiare in business class è molto piu confortabile ma quando si fanno vari viaggi in questa classe si fanno confronti con compagnie o con la stessa per dare recenzioni.Ultimamente Alitalia è sempre puntuale sugli orari se non ci sono complicanze aeroportuali ,per quanto riguarda la poltrona del boeing 777 sono comode ben funzionali e ultimamente ce stato un restailing allo schermo video dove la programmazione è ampia.Il servizio di bordo è stato cortese professionale e disponibile a tutte le necessità ,mia figlia ha avuto dei malori.I gaget come giornali necesseire personali,creme dentifricio ecc,buoni.Per quanto riguarda il cibo e vino buoni e ben presentati ad eccetto della prima colazione che come in altri viaggi è non all altezza in particolari nei lieviti,cornetti briosche ,non di qualità.Comunque sono anni che viaggio con Alitalia specialmente viaggi lungo raggio e posso dire di essere rimasto generalmente sempre soddisfatto.Da provare la launge a Fiumicino ricca ben curata piacevole.Non mi resta che augurarvi BUON VIAGGIO
alfredol238|marzo 2020|Napoli|Milano|Nazionali|Economy|1.0|Contact Center Alitalia VERGOGNOSO|Il 20 febbraio ho prenotato un volo Napoli Milano Linate per il 20 marzo delle 11,05 (AZ1286), con ritorno nella stessa giornata alle 19,20 (AZ1295), per una riunione di lavoro. il 29 febbraio mi è stato comunicato che il volo Milano Napoli sarà anticipato dalle 19,20 alle 18,15 ed il 4 marzo che il volo Napoli Milano sarà anticipato dalle 11,05 alle 8,55. E' comprensibile che, con ciò che sta capitando in questi giorni, ci siano voli cancellati e variazioni di orario. Ciò che non è accettabile, però, è che da quasi una settimana sto chiamando il numero telefonico indicato nelle comunicazioni di variazione orario (800650055) ed il numero a pagamento 892010 (con tariffa a tempo) indicato sul sito ALITALIA , senza riuscire mai a parlare con un operatore, anche dopo un quarto d'ora di snervante attesa. In tali condizioni, non mi è possibile nemmeno richiedere il rimborso del biglietto, inutile a causa dell'anticipo della partenza da Milano, perchè non c'è una email di contatto, ma soltanto numeri telefonici aI QUALI NON RISPONDE MAI NESSUNO. E' UNA VERA VERGOGNA!!!!'
giulio57|marzo 2020|Tokyo|Milano|Internazionali|Economy|1.0|call center alitalia|incaricato da mio figlio a cui hanno annullato il volo tokyo milano dirottandolo su roma ho provato la pessima esperienza del call center alitalia . Ieri dopo numerose chiamate di cui una di 1 ora e 7 minuti tutte senza riposta ho riprovato alla mattina alle 6.30 . Attesa di venti minuti e poi e' caduta la linea senza poter parlare , altra attesa di 15 minuti e finalmente riesco a parlare con una ragazza gentile ma decisamente impreparata perche' per tre volte ...un attimo che chiedo ... e modificare il volo da roma a milano malpensa su linate . guadagnando 40 minuti . Dire servizio pessimo e' un regalo ....
luciofire74|NULL|Roma|Catania|Nazionali|Economy|5.0|Rimborso bagaglio|Tornando da Roma con un volo Alitalia ho avuto la spiacevole sorpresa di trovare la valigia rotta, mi sono recato al box addetto e ho compilato un modulo, la signora è stata molto gentile e mi ha detto che mi avrebbe dato una valigia nuova, ma non immaginavo che dopo 30 minuti mi avrebbero contattato e dopo 2 giorni mi avrebbero inviato a casa una valigia nuova di zecca. Tutto questo dovrebbe essere normale, invece non lo è per tutti, infatti la stessa cosa mi è capitato con blue panorama la quale non mi ha nemmeno risposto nonostante gli abbia inviato tutta la documentazione. A volte quando si risparmia c'è sempre qualcosa sotto.. Complimenti ad Alitalia, azienda veramente seria.
